Compute_Metric,RMSE_Improvement_Pct,Loss_Improvement_Pct,Single_RMSE,TwoTerm_RMSE,Single_Loss,TwoTerm_Loss
Model Size (Parameters),-0.5601249918346145,1.1644741876565723,0.32280266423493176,0.3246107626316196,0.013985884906843094,0.01382302288718755
Training FLOPs,-0.036746711243669496,0.001631619393943808,0.19806443939917995,0.19813722156680236,0.004020138579018314,0.004020072985657595
Training Tokens,7.687026029519388,2.5375681468462616,0.1913798590905088,0.17666843950696387,0.011700325071335314,0.011403421349247642
