Model,C1,alpha1,C2,alpha2,E,normalization_factor
Single Power Law,0.61866823051988,0.27390331675404245,,,1.9336115978167367,1000000000.0
Two-Term Power Law,0.009149929345667999,-1.1686523413682992,2.458145337475637,0.08079085691639966,0.08864814093179017,1000000000.0
