Model,C1,alpha1,C2,alpha2,E,normalization_factor
Single Power Law,1.7642890711235812,0.16343852467466757,,,1.734983954054483,1e+18
Two-Term Power Law,1.2886396511070668,0.0036191054960547048,1.6892013707374176,0.16878035443815348,0.5223175239141434,1e+18
