Model Size Low,Model Size Median,Model Size High,Reported Parameters Low,Reported Parameters Median,Reported Parameters High,Best Fit Formula Parameters Low,Best Fit Formula Parameters Median,Best Fit Formula Parameters High,Standard Formula Parameters Low,Standard Formula Parameters Median,Standard Formula Parameters High,Training Compute (FLOP)
21.699486306541505,25.62258788135226,29.989408217509336,21.934782807612446,25.935658531155795,30.452080012597094,21.337309652218234,25.28754466577474,29.61481428611176,22.098794865304825,25.850966403953663,30.026807246599287,1e+18
21.745111044224195,25.550283250023575,29.73860479583362,21.97826168223452,25.83899550584072,30.201021816012126,21.393227377491502,25.217908161114227,29.37948331353617,22.16402854386521,25.823057460876015,29.854859388446066,1.1220184543019653e+18
21.799834005293338,25.47047736387279,29.489608715163538,22.029349346934332,25.748212849364492,29.937043502121636,21.43879885337084,25.147506646375717,29.14175175359268,22.24365758255107,25.79663194927805,29.668135474366494,1.2589254117941714e+18
21.841732665643498,25.392462674399134,29.263152350936085,22.07427683352175,25.676104719468917,29.67880996186947,21.486196409496763,25.07854575183456,28.91830315261206,22.31875259069721,25.76417092457573,29.489644804526694,1.4125375446227612e+18
21.896687970970234,25.314389729022977,29.029785778080072,22.11640488311643,25.59428078312093,29.431876237326545,21.529713650036157,25.0039153425307,28.71192342270186,22.396372574459434,25.732605334515945,29.30488161989119,1.5848931924611238e+18
21.94870889414695,25.249935600576407,28.7909940638569,22.155572152617882,25.5143769025039,29.16231204315837,21.578292935976336,24.93600984376277,28.501166082095978,22.47713259879777,25.696209917839994,29.137982795667558,1.7782794100389373e+18
21.999343818771184,25.185245593405885,28.56564368690856,22.201508973742058,25.426334808347157,28.917593944950784,21.62427186971949,24.86783861188302,28.29316331893968,22.548547899638493,25.665608884153688,28.962162015800626,1.995262314968899e+18
22.03292442488788,25.11249113379897,28.324951581797745,22.246051505172943,25.34864008862634,28.684926886690278,21.67450078475944,24.80098936842093,28.089461552566878,22.61858908451907,25.634971353551414,28.795439031523962,2.2387211385683653e+18
22.089693218798036,25.034032559744226,28.114209625816926,22.282751958279377,25.264879790924024,28.451093076576466,21.713500675092448,24.731582167992784,27.867397964242333,22.69537235463635,25.597516821781092,28.631746578987453,2.511886431509613e+18
22.138037004034512,24.965856640179663,27.89072198345553,22.32513360178005,25.180967138367905,28.21826437894831,21.76751524517889,24.66700166198762,27.6712767400007,22.763898205528413,25.565571133926756,28.45364970195041,2.818382931264495e+18
22.18119319957554,24.890687382690658,27.684440306695066,22.35172531170498,25.099956506231237,27.99222018911939,21.81583880330188,24.59859618560794,27.462483039022537,22.839298169107423,25.538101564865215,28.296899685370768,3.162277660168431e+18
22.232421737142303,24.832264971232817,27.497783965571855,22.39003143380366,25.02345193509375,27.76773268238996,21.856535976980776,24.533757483537563,27.268127864812175,22.90180710469037,25.50628815425013,28.14759942087638,3.548133892335818e+18
22.260754154051963,24.754003656073344,27.299701359824567,22.4340656055872,24.944249355401062,27.55796997732158,21.88265566524218,24.47040730221592,27.067458490118995,22.985936627114306,25.47484347604191,27.990493986951964,3.981071705535051e+18
22.293853523340818,24.670631354115358,27.102625300760167,22.462821533013216,24.865802259161136,27.329041390108923,21.932427873152854,24.397009016671866,26.885030899680718,23.051748477061203,25.444079832454495,27.85502960588433,4.466835921509726e+18
22.329486332884837,24.613647940370832,26.904693849338994,22.487198038438184,24.78113407129441,27.131100549576832,21.97632756718025,24.33235392794014,26.69594854278668,23.105087406982065,25.410737032582638,27.716789563205698,5.011872336272838e+18
22.376790941612377,24.550605475225563,26.713997567120618,22.511769632473293,24.7023029348885,26.929146894202916,22.012705786628292,24.26746255617213,26.527006834619293,23.160038546680358,25.380821582534214,27.582345671557036,5.623413251903628e+18
22.405771302648542,24.47398791816935,26.528804058940615,22.54434377180182,24.61849279639799,26.73966131623649,22.033410164828485,24.205071486189595,26.344438026421,23.216628627025838,25.339855885090923,27.44854491638049,6.309573444802097e+18
22.426617444884492,24.39511023708205,26.356727518915775,22.554180307515043,24.53816239888953,26.54085613701513,22.062519410045386,24.141668577549353,26.173742641101907,23.271594093075805,25.30207037975522,27.317657188086002,7.079457843841576e+18
22.443961058925808,24.320432510558952,26.18788091105149,22.5625760782748,24.448146985145783,26.35996406936544,22.09879180424352,24.068372957850677,26.019899874021874,23.306592576870525,25.268760448360908,27.193489582615253,7.943282347243049e+18
22.455402561960074,24.256568453038547,26.037346523637105,22.557397048786278,24.361645064959525,26.18777042431704,22.126242891408882,23.99793967306028,25.864455956458155,23.338991608409376,25.239781451261045,27.081127466203377,8.912509381337732e+18
22.449914420804593,24.184447020236696,25.88287933761267,22.531730057996388,24.282763459656103,26.03195633490719,22.14503666849004,23.936560765884394,25.722845985224257,23.364312148076262,25.214083921331063,26.972834446888392,1.0000000000000328e+19
22.449482244583177,24.108944021055642,25.75316130460048,22.5126697721797,24.19508939432609,25.886816466254857,22.16573942602509,23.871014438140847,25.58492473478046,23.39198321578916,25.176944852498146,26.872989630410377,1.122018454302002e+19
22.428970558529834,24.042519775711792,25.627536306072816,22.48199509059955,24.111134332820093,25.761115257475225,22.164191286393116,23.80378021779894,25.44756892911175,23.415453106198598,25.137252638210704,26.77856241799132,1.2589254117942125e+19
22.41320089281458,23.96089698743217,25.516411236526398,22.458779724589686,24.029174911683654,25.63119164889091,22.15278634508799,23.737618264086574,25.312544575965372,23.429381201170017,25.1008231724895,26.706421268632752,1.4125375446228074e+19
22.385370363631804,23.883746318815106,25.416975843880007,22.415486714394696,23.93834193096167,25.51770783770185,22.134763657478796,23.674436467127933,25.202976234986533,23.441645108856285,25.06478853844591,26.63149207256792,1.5848931924611756e+19
22.343916059355674,23.80936818610965,25.332497701360897,22.348078204667935,23.86060956270846,25.425801878329533,22.111375378977346,23.611017233410546,25.10546588845415,23.434913657342932,25.025231108075033,26.57947441406569,1.7782794100389956e+19
22.289582917412368,23.74004864969133,25.263412833457487,22.284755495830687,23.77038913558883,25.35689814867425,22.065074208367236,23.550549020015247,25.00838179372046,23.430994275561957,24.991572976622614,26.53907099777065,1.9952623149689643e+19
22.20064859260346,23.664756449375844,25.190761849266096,22.21220213377041,23.686468052908566,25.269924399114196,22.030496424730735,23.480044329971772,24.933656165696735,23.420741139190646,24.96092956193192,26.506380592784357,2.2387211385684386e+19
22.122429699127625,23.600594928152212,25.149997031766297,22.132697555017984,23.607313559055278,25.231422637585723,21.970349420005917,23.411822802179408,24.85895767011387,23.391706395755687,24.92659213638825,26.492064282651068,2.5118864315096953e+19
22.038347812782412,23.52709961960022,25.11238119302919,22.029413289725934,23.534327654469447,25.17016654169164,21.906433720345987,23.356465063063713,24.80394008929523,23.348339591537783,24.88893460519415,26.476142665138543,2.8183829312645874e+19
21.93755104849974,23.451651166358886,25.101507056574427,21.91314597968695,23.469794528770194,25.13262876447119,21.825930784182876,23.29580669860629,24.74590374451371,23.29924442916228,24.852157202419434,26.47344969560009,3.1622776601685344e+19
21.83426709034039,23.38239040038908,25.080534958028398,21.798429319317176,23.391058689721362,25.098329004218236,21.73904967177923,23.23029429305065,24.717472491804585,23.241712238900497,24.810873516187467,26.47839874685873,3.5481338923359347e+19
21.708667227437232,23.309088603005563,25.076129181121505,21.65781246412218,23.32026210584762,25.068913778896366,21.64282190610233,23.157643077435214,24.693499522877314,23.171247662187184,24.771596654682867,26.50569759841581,3.981071705535181e+19
21.588131722118668,23.248280326929276,25.076229284641137,21.523988366914363,23.243808626723247,25.068682633479018,21.55173857310008,23.093093710496657,24.680884452177256,23.085572743399666,24.73861488217902,26.536886976252234,4.4668359215098724e+19
21.46019982511498,23.183612994577587,25.073083453072822,21.383692534107997,23.17048848847852,25.06423453187348,21.446730417732393,23.032194606164836,24.674886633168768,23.002267850201147,24.71500118076642,26.574913326083063,5.011872336273002e+19
21.336509247039636,23.119028881726546,25.08579738109998,21.225222065130872,23.09962887401528,25.065974610626423,21.335804878312448,22.970561443421353,24.677685756352048,22.912508231511552,24.68147641997763,26.618057062578654,5.623413251903812e+19
21.19755238649689,23.045246998141863,25.111493446279194,21.08375622780507,23.027585558464338,25.07697105875893,21.212594184484487,22.909876724370037,24.68192633088192,22.80765856650734,24.650929124853867,26.667640736720113,6.309573444802304e+19
21.05592300094363,22.971281003286308,25.12615866099743,20.927505503397846,22.954098562745756,25.09977960203127,21.072505971195397,22.85190969314871,24.703390369700745,22.69735871345713,24.61603871591379,26.71622872625769,7.079457843841808e+19
20.918751687143875,22.91283418699549,25.163178513210966,20.770929480713733,22.87602937506646,25.125378173670168,20.938962766774022,22.785607358412157,24.723401264407805,22.5912244867194,24.585111050308022,26.766855708556307,7.943282347243309e+19
20.75892136623581,22.844769048791747,25.199859337836653,20.60814561481064,22.803328790432108,25.15387160017457,20.80895467438951,22.724891186460834,24.740129462461123,22.499145508221712,24.55042095141642,26.840629834748828,8.912509381338024e+19
20.5993822162935,22.768470542567385,25.23663671083515,20.445764759050867,22.73215691392531,25.195175464422725,20.682330800472425,22.656332870989125,24.772017110552742,22.379231556686438,24.52456922279145,26.911614006463456,1.0000000000000654e+20
20.441465490156116,22.703555468413576,25.28606922585649,20.286181451459736,22.66636679593927,25.230534058393715,20.54210918011114,22.599421417534977,24.809687422219472,22.258266587581513,24.49868062554021,26.993078264490265,1.1220184543020388e+20
20.28922236351147,22.645130224928938,25.334914669479588,20.13288270583826,22.589197682422387,25.265662738247105,20.40199435601166,22.543318226250598,24.844105353852985,22.148326923753622,24.4722315030085,27.07215231592581,1.2589254117942537e+20
20.133573930801486,22.586224945374013,25.398975489515315,19.958503135827748,22.517414034789518,25.296018054041205,20.25164783556125,22.480744970828106,24.880552073216187,22.033031812508458,24.438774178906236,27.140603075597124,1.4125375446228537e+20
19.972438060192907,22.525653919438007,25.450248927796796,19.782654061464093,22.442257418192582,25.35708683293466,20.11249808119919,22.418995926277063,24.932700813973,21.90314820505357,24.412231773331527,27.218323809547126,1.5848931924612275e+20
19.819996021262874,22.45971438559213,25.50186307098823,19.610161208261253,22.374570487475125,25.40857332498791,19.954890428674908,22.362193038327575,24.98988945495418,21.772893680738065,24.38488368532315,27.29706412349445,1.7782794100390537e+20
19.666515529499485,22.393342777943403,25.562809761478654,19.451825328531637,22.29168357294276,25.454293948292438,19.812334364479966,22.30709484553667,25.041761111423796,21.652768469275497,24.350476710724124,27.402910036042712,1.9952623149690297e+20
19.50450520596588,22.328635045098473,25.62437023574962,19.295199945128157,22.216124375648178,25.496483930281915,19.673044658113398,22.25127654984825,25.076537470153283,21.531989304175237,24.323406264589735,27.49381310158102,2.2387211385685118e+20
19.349812467215724,22.27156301051403,25.682852631707252,19.126372439721372,22.14407422305919,25.53685741147317,19.530955916995488,22.189423808771192,25.14691522826641,21.415094395884662,24.290784067984923,27.57904996503783,2.5118864315097773e+20
19.196799760854127,22.208862529674725,25.742817067569074,18.97239556715113,22.062350239788795,25.592454979831473,19.390483541945848,22.137469000549853,25.195903010872417,21.28165345176247,24.258880263015072,27.676453032007107,2.8183829312646798e+20
19.028659640924918,22.143439043102468,25.794813650281025,18.815085081044668,21.99514194976293,25.6439171220642,19.2531469112885,22.079906695060988,25.241842824370647,21.162847148705517,24.228142109296606,27.768577784513692,3.162277660168638e+20
18.87242152285638,22.08948261832261,25.85515057254907,18.650201408006655,21.93032939655041,25.68903665632603,19.112664254911675,22.024156359534533,25.300271062959748,21.03700684989524,24.20069572754495,27.885421765856165,3.5481338923360505e+20
18.719352025711608,22.029282684202705,25.92160926076339,18.483414826059278,21.855852353134388,25.753405179343055,18.97120984537658,21.968280677060346,25.363431000252522,20.906237579410348,24.174006361620958,27.979284865552803,3.9810717055353114e+20
18.56642740546016,21.970030636082644,25.991139646580994,18.33228141614666,21.786048494861,25.813158187040028,18.83097293608799,21.9072482373575,25.418556470243704,20.782100270485387,24.15103434373475,28.071943501883908,4.4668359215100186e+20
18.411775702315417,21.91882328415909,26.059981973539422,18.16619554352128,21.716813908293283,25.873522965275846,18.69475642695041,21.84591419178649,25.48396496882556,20.662008383168786,24.119732339182598,28.157164047631042,5.0118723362731655e+20
18.264464447624388,21.85586003759354,26.133932389295286,18.009407134367628,21.645341548718044,25.94156850941328,18.552794777280592,21.791021512249685,25.54273286830549,20.539637110589904,24.08339363367239,28.26762066570903,5.6234132519039966e+20
18.106864678575317,21.78407736141377,26.205416992923485,17.83999240407195,21.57938074824184,26.0014992982774,18.414559179499577,21.736665566752087,25.619553043695067,20.414500300399,24.0508172936619,28.372283814310734,6.309573444802511e+20
17.95851184212169,21.724485096483217,26.277558746557105,17.67823777305942,21.51627149860738,26.044287404235522,18.27625829227209,21.688102467291273,25.693612623516845,20.28193792952922,24.029129012554975,28.46853986631226,7.079457843842039e+20
17.818982096451354,21.65779579417407,26.35974373813255,17.509666001318035,21.450971169904545,26.105805460802678,18.127748787497953,21.62807084994536,25.748107129638697,20.16002391803446,24.00149818363697,28.575930257525307,7.943282347243569e+20
17.665955077331745,21.597232788895216,26.43413865589464,17.352834952645892,21.3819731628623,26.16751404892713,17.985261511528897,21.56886407511428,25.824541562699824,20.0298857041714,23.96889648367868,28.6916633101361,8.912509381338316e+20
17.514053963110616,21.53247931422787,26.49382221888846,17.192723959460405,21.319641868317056,26.240531342562765,17.853975797579402,21.50908329375784,25.892601910247144,19.907450636996337,23.937593373569207,28.807445398755828,1.0000000000000982e+21
17.375448185958764,21.46813544298595,26.557409058804858,17.04241946576196,21.25014639029031,26.293648910676787,17.71539091823506,21.45041264060419,25.95892004095181,19.771790492749457,23.907848595282793,28.91793173663148,1.1220184543020754e+21
17.234362518960793,21.404029757076174,26.62283069900945,16.885487328883602,21.177372708133703,26.365902001188797,17.576801202380384,21.39100326375732,26.020555269600063,19.656351252914202,23.875164586574293,29.018249151586097,1.258925411794295e+21
17.092163205277146,21.34717530024313,26.69217296900926,16.732892844535417,21.109668826571912,26.42199787741222,17.442169738163653,21.32898574306413,26.087586332188827,19.54086988281827,23.85486045394598,29.138844163946057,1.4125375446229e+21
16.946561670178447,21.28959090775815,26.753610112138134,16.5829080572409,21.034624206329894,26.466155340342656,17.30729513181714,21.27663777806329,26.176076708796472,19.418057765104834,23.830526580450062,29.260973135749396,1.5848931924612793e+21
16.802628481586808,21.222402223645787,26.82670810321188,16.440658740455174,20.95795159376606,26.5175885037122,17.17290219244897,21.216094905778334,26.254188151916008,19.298363965191896,23.806487643860116,29.367056000410155,1.7782794100391118e+21
16.65693991428347,21.171248463091686,26.88570598782768,16.290851268385993,20.884222672356035,26.585320872281876,17.032318953928236,21.157440546089482,26.327226175354404,19.186895161836286,23.77098712389118,29.490063638205314,1.995262314969095e+21
16.512928843356264,21.109413399788078,26.95747382918225,16.147941527565337,20.808919957225633,26.659909030660913,16.903608867248533,21.10596616264089,26.384438432724806,19.076289394952862,23.737427972401385,29.60359719081,2.238721138568585e+21
16.376899384663567,21.050273595000263,27.03383457232537,15.999565188151296,20.742683117879153,26.735584844269702,16.772236976204148,21.052474867759983,26.445463205419014,18.95728838551026,23.70593289300055,29.7110123589231,2.5118864315098595e+21
16.24049177149964,20.99472503813727,27.099390204483683,15.848036443899625,20.678701783658276,26.794452544801246,16.640461264100995,20.995489602942513,26.521432198946712,18.830186425822507,23.670980535583045,29.81579133412369,2.818382931264772e+21
16.103052473595838,20.938368494475704,27.181651609918777,15.707735073337307,20.606252505926385,26.852335855984716,16.517328305553924,20.937234748697428,26.58552483474829,18.712362107492222,23.637187161615714,29.923187178284014,3.162277660168741e+21
15.966785247955274,20.875632008293532,27.257253168122148,15.567392447269196,20.537558778227773,26.916340380181346,16.388249815135342,20.890255900472923,26.643344754189236,18.597891712390826,23.609831193647295,30.017021970653033,3.548133892336167e+21
15.83384826905937,20.820832542567814,27.321602419872807,15.430075726205766,20.469151352739214,26.964891041493566,16.259402433864995,20.832604853989576,26.708756331214772,18.48434280869713,23.583501801159017,30.12264784909939,3.9810717055354415e+21
15.701039463820901,20.753411210166146,27.396533010377546,15.283960647714016,20.406430268964012,27.046434762412346,16.127036299732012,20.777036415347933,26.77447759283082,18.375752509022163,23.553354040012536,30.23684942938761,4.4668359215101646e+21
15.567556410329297,20.694389638497224,27.46870190894787,15.14651271532343,20.3349778630896,27.107478192073764,15.991696321653631,20.730019835087894,26.845881381756165,18.261677859676052,23.529941250815085,30.35851672299128,5.01187233627333e+21
15.439721885483442,20.638713176305792,27.526045226944152,15.016632961713784,20.268171252699744,27.177082955161108,15.869523472631853,20.675273737785755,26.91555776071072,18.14710604729442,23.497484511527706,30.467370007246867,5.623413251904181e+21
15.311724305624363,20.577099643396146,27.606642064654196,14.87581443926819,20.19706600034466,27.252383599272527,15.749247861156942,20.615291675119018,26.9897046745538,18.03580202798849,23.466902380960292,30.584712409241064,6.309573444802717e+21
15.185399686908346,20.51936593963464,27.686961873043476,14.742295087986504,20.1232990545791,27.333183217585056,15.632888819806965,20.55459400933019,27.059019577422927,17.923511654429436,23.43876491240526,30.708628175172247,7.079457843842271e+21
15.056919124501244,20.453071384449515,27.754669749219268,14.6107748737753,20.050699817016508,27.401646757067915,15.515391372750239,20.50053363359442,27.13609612901252,17.801818781004762,23.406850425129463,30.819055676648063,7.943282347243828e+21
14.931191699257909,20.38820133864745,27.83222614083639,14.485196089699905,19.977978204125275,27.466164875378947,15.390801610766419,20.44914408610662,27.221981689032788,17.684653265072757,23.380149504916837,30.93793488355087,8.912509381338607e+21
14.804101129148298,20.329042425847845,27.918443665776813,14.357197710822641,19.91410342417675,27.53287927987287,15.275113973273637,20.39530237265328,27.293137779369022,17.569792988585803,23.35437332028862,31.064195781104992,1.0000000000001309e+22
14.675115834489718,20.274827937127522,27.99508118158611,14.227401453104804,19.848470422293016,27.605251463869614,15.153716698305452,20.34261453161787,27.367834653081413,17.460034779148934,23.325916154503517,31.174941335466688,1.122018454302112e+22
14.550594569481913,20.21991131945647,28.060289804794618,14.09642827869983,19.783353686107844,27.685055667266877,15.037056790726117,20.28956105557824,27.431109525938954,17.35856867614457,23.29807131521666,31.29398006125057,1.258925411794336e+22
14.431727884265804,20.160409907062025,28.14172684114104,13.982941398122904,19.715277341146507,27.773969298527852,14.918401862865277,20.231208386544644,27.50080543253672,17.251099624433042,23.271614409494592,31.420495702718675,1.4125375446229461e+22
14.312554550520739,20.104674569718846,28.220888254009424,13.855030883149846,19.643834256699037,27.850479734562217,14.79160200195567,20.17595876736592,27.579147275293433,17.139103729599714,23.24538767525369,31.54590270387082,1.5848931924613314e+22
14.19061603921819,20.048415322990742,28.288648107845606,13.732656092526241,19.58095660674485,27.91444931083707,14.676835901537466,20.125722916325458,27.653636910743337,17.029450096265595,23.212906884380644,31.66969248815654,1.77827941003917e+22
14.066914181915761,19.987625561613896,28.352554868477228,13.60645546798153,19.509035020693297,27.990173083367736,14.558307529601755,20.071828440231478,27.73348254814182,16.91929687812507,23.18020241791683,31.793325706210215,1.9952623149691605e+22
13.946276610577714,19.932380593391663,28.433975195172383,13.477278565995217,19.44200400155533,28.060229241712335,14.45257790772391,20.0197580523541,27.810303855798963,16.812992568468598,23.150441177682648,31.916817349092874,2.2387211385686582e+22
13.833858830928616,19.877004350900872,28.537274886961544,13.356876914457763,19.374119738364417,28.131311563902614,14.345503979401165,19.968401798358116,27.883800984914405,16.710362109036442,23.12435998912995,32.04971461197574,2.5118864315099417e+22
13.711156198616514,19.815941065157514,28.612530354787733,13.241303171874813,19.30878131102112,28.200943879726733,14.229730152424962,19.917117091423783,27.959303785018545,16.60094582987238,23.09881076555893,32.18147604709853,2.818382931264864e+22
13.59302584118629,19.758129607162157,28.70484607288798,13.120351564333914,19.238857450243167,28.267579888941434,14.116672180241562,19.863285163128992,28.034992462189194,16.504068823888556,23.068141026823064,32.299847697618155,3.162277660168845e+22
13.477120726277029,19.70465035263713,28.78306260266942,13.004519148676804,19.177461175567693,28.33502330267528,13.998547775666468,19.807926424922808,28.113279764344124,16.403013629508433,23.039145422798782,32.42110172492404,3.548133892336283e+22
13.3615808644945,19.648527625185345,28.86976108287947,12.891158409747193,19.11437756367735,28.41052374777962,13.887082401216912,19.75549465846069,28.183427812723714,16.29724284092176,23.011638055808632,32.55028649881367,3.9810717055355716e+22
13.248084326014382,19.589790499114184,28.949340083787828,12.777058916525515,19.054978250274324,28.49145133289768,13.775144081042363,19.700325343947874,28.258546563978808,16.19887699418079,22.974764298801972,32.69091076734047,4.4668359215103106e+22
13.138832336229594,19.534203197831395,29.02579106849101,12.660074753708534,18.997705162504417,28.567275392026733,13.671554575047809,19.63764783858433,28.342181875770976,16.096104557318125,22.947828378417995,32.83459625430458,5.011872336273494e+22
13.020597451201684,19.470536703842733,29.10367456497983,12.546799967455533,18.940428466021636,28.639583853851764,13.560630204587275,19.59258914558417,28.419234752853047,15.996949674628274,22.91600132837467,32.952157439752426,5.623413251904365e+22
12.910307468952617,19.416698429722395,29.181482707113762,12.428879992658661,18.874220704567975,28.709644482018636,13.452342725761081,19.53104598331751,28.49642321133255,15.89723465933991,22.89206028096939,33.07376342656807,6.3095734448029235e+22
12.800525963855154,19.36541822627939,29.27664098390814,12.313876028170816,18.80795434516319,28.78606834804671,13.34580234440175,19.47996880212446,28.57051404521956,15.793765571870956,22.861767712396457,33.21070916895113,7.0794578438425026e+22
12.688090845279396,19.313531270817656,29.388816650806955,12.20052369230321,18.746716796138745,28.853046938211175,13.24050495615994,19.42345704108846,28.647280375443643,15.693895311237172,22.836743887103406,33.33327863586932,7.943282347244088e+22
12.578825225505506,19.257799307855706,29.47505691017177,12.092734175099471,18.689757790106245,28.927644407102072,13.13037059004964,19.36957738176944,28.725125672357276,15.592484460074418,22.808350630625135,33.4770565234388,8.912509381338898e+22
12.472016134978798,19.200054608382317,29.562908119532736,11.980499201428138,18.633858091276814,29.003652157053406,13.015943121748457,19.31795342614211,28.805933171042142,15.496697253206463,22.782085728894874,33.61222351350699,1.0000000000001637e+23
12.36543043628745,19.144783345181963,29.636583500000622,11.874352516719636,18.580811746506324,29.072721829568653,12.910666813092652,19.261839593909798,28.88944013831926,15.395174820448727,22.749886090103743,33.75901180579414,1.1220184543021488e+23
12.253459955740874,19.092486281896264,29.71712406710961,11.76764462702833,18.527609611011858,29.14388191429491,12.801430733336192,19.21427241995067,28.957389692174107,15.302240968044478,22.728998268892212,33.89045288255807,1.2589254117943773e+23
12.14336223555117,19.03944282755393,29.798995960436127,11.654520089112388,18.47157574995242,29.232856894925067,12.69887902239624,19.158731043010732,29.045174542228548,15.209638345113186,22.694679330212516,34.01366955310799,1.4125375446229923e+23
12.03384081537404,18.98781965590434,29.879766801693542,11.548627225302972,18.41878633565386,29.31379234667261,12.596943582042078,19.10887391953826,29.12685915855051,15.119500760184481,22.667523127636386,34.13909147033718,1.584893192461383e+23
11.927413785562985,18.934191880720334,29.95153508958917,11.443225822256881,18.360197083802596,29.383985160218412,12.501228086377997,19.058811603755707,29.210402863871977,15.024531232316317,22.64569609682319,34.27364715594966,1.778279410039228e+23
11.826990417024337,18.8818297783421,30.0358373611375,11.344217985384798,18.29422141168793,29.464852816667378,12.39728804428937,19.00844754036182,29.288066657699623,14.9224285165191,22.616381712095503,34.40052168066161,1.9952623149692257e+23
11.72913438502957,18.83072224473285,30.126438914788718,11.235501843533969,18.234686016480588,29.547984003182844,12.297912840018027,18.95780888862518,29.36602606818494,14.832309439191382,22.59472778078502,34.528140748093506,2.2387211385687316e+23
11.62814482164564,18.77108179257347,30.210605111311978,11.135498442669048,18.173964012349085,29.62759952949591,12.198818337066395,18.90559268435065,29.435333763971958,14.739897059767936,22.56290265062673,34.66632901431964,2.5118864315100238e+23
