,Correct Eqn. Parameters_Identity,Correct Eqn. Parameters_Systematic Bias_0.31622776601683794,Correct Eqn. Parameters_Systematic Bias_0.3981071705534972,Correct Eqn. Parameters_Systematic Bias_0.5011872336272722,Correct Eqn. Parameters_Systematic Bias_0.6309573444801932,Correct Eqn. Parameters_Systematic Bias_0.7943282347242815,Correct Eqn. Parameters_Systematic Bias_1.0,Correct Eqn. Parameters_Systematic Bias_1.2589254117941675,Correct Eqn. Parameters_Systematic Bias_1.5848931924611138,Correct Eqn. Parameters_Systematic Bias_1.9952623149688797,Correct Eqn. Parameters_Systematic Bias_2.51188643150958,Correct Eqn. Parameters_Systematic Bias_3.1622776601683795,Correct Eqn. Parameters_Log Normal Noise_0.01,Correct Eqn. Parameters_Log Normal Noise_0.025118864315095794,Correct Eqn. Parameters_Log Normal Noise_0.06309573444801933,Correct Eqn. Parameters_Log Normal Noise_0.1584893192461114,Correct Eqn. Parameters_Log Normal Noise_0.3981071705534973,Correct Eqn. Parameters_Log Normal Noise_1.0,Correct Eqn. Parameters_Log Normal Noise_2.5118864315095824,Correct Eqn. Parameters_Log Normal Noise_6.309573444801936,Correct Eqn. Parameters_Log Normal Noise_15.848931924611142,Correct Eqn. Parameters_Log Normal Noise_39.810717055349734,Correct Eqn. Parameters_Log Normal Noise_100.0,Correct Eqn. Parameters_Multiplicative Constant_0.001,Correct Eqn. Parameters_Multiplicative Constant_0.003981071705534973,Correct Eqn. Parameters_Multiplicative Constant_0.015848931924611134,Correct Eqn. Parameters_Multiplicative Constant_0.0630957344480193,Correct Eqn. Parameters_Multiplicative Constant_0.25118864315095796,Correct Eqn. Parameters_Multiplicative Constant_1.0,Correct Eqn. Parameters_Multiplicative Constant_3.981071705534969,Correct Eqn. Parameters_Multiplicative Constant_15.848931924611142,Correct Eqn. Parameters_Multiplicative Constant_63.0957344480193,Correct Eqn. Parameters_Multiplicative Constant_251.18864315095772,Correct Eqn. Parameters_Multiplicative Constant_1000.0
B_fit,1786.7273974085056,1786.7273960385924,1786.7273960960756,1786.727396109574,1786.727396321106,1786.7273961095584,1786.7273961240994,1786.727396714621,1786.727396109598,1786.7273961094106,1786.727396112137,1786.727396108257,1800.5727039790524,1622.834192737813,1813.5870671870937,2010.8492483383757,1490.2224124687207,335.304841270828,73.27700411441079,70.03203474305903,85.62203374421811,81.93493196912577,69.08656280436867,1786.7273953664073,1786.7273961409303,1786.7273961116086,1786.7273963015407,1786.7273960623454,1786.7273961102185,1786.7273960813332,1786.7273953005877,1786.7273961151157,1786.7273961472051,1786.7273962221957
E_fit,1.8065343815772248,1.8065343815477264,1.8065343815463801,1.8065343815467805,1.8065343815504933,1.8065343815467783,1.8065343815469734,1.806534381538338,1.8065343815467731,1.8065343815467851,1.8065343815467947,1.806534381546681,1.8219726770452513,1.8145115326081356,1.8233994541109169,1.8059698659608638,1.811390537899702,1.606439338461364,1.358491438930895,1.3986925234967473,1.5268722212964891,1.5065656165181216,1.4121285404664685,1.806534381535357,1.8065343815489607,1.8065343815466528,1.806534381549301,1.8065343815450874,1.806534381546771,1.8065343815507535,1.8065343815278878,1.8065343815466626,1.806534381547736,1.806534381552824
alpha_fit,0.35026393512966203,1.1076318172551445,0.879823226119406,0.6988684300723148,0.5551309263605636,0.4409561687794673,0.3502639351372236,0.27822453327033936,0.22100160238145702,0.17554781269090836,0.13944258416444952,0.11076318172475237,0.3620737315933367,0.3633287259872671,0.367666198867484,0.3453727777836126,0.34781165366115374,0.2224804073502888,0.19238640352025116,0.09175575394952776,0.028907610515739392,0.01844148205223754,0.0004316589004139364,0.3502639351450617,0.3502639351386612,0.35026393513723014,0.3502639351346467,0.3502639351375085,0.3502639351373555,0.3502639351407609,0.35026393514328485,0.3502639351371545,0.3502639351366077,0.35026393513929627
beta_fit,0.3581994126040722,0.35819941256516286,0.3581994125667707,0.35819941256718446,0.3581994125731054,0.3581994125671843,0.3581994125675825,0.35819941258399796,0.35819941256718557,0.3581994125671798,0.35819941256726257,0.3581994125671467,0.3586308662009638,0.3534533007555105,0.358638636662701,0.361708907227828,0.34651847426315924,0.2654218012630406,0.17744369966375031,0.175788917380724,0.18775989461875822,0.18479997664561426,0.17514886365613344,0.3581994125465557,0.35819941256809146,0.3581994125672428,0.3581994125726032,0.35819941256582377,0.35819941256720284,0.3581994125663895,0.35819941254421916,0.3581994125673412,0.3581994125682681,0.3581994125703603
A_se,133.19276591611052,5063356322.717462,28136910.910402827,477142.44125767436,17365.134001308455,1181.3738196898726,134.01464806711581,21.656080600863064,4.8568381057823835,1.3540098492353658,19.823494963385293,21.849482864260292,136.92472266255672,128.92625378203138,134.29294978788354,151.3961341559403,534.3014388672018,2215.6510242667905,47146548.49144548,,0.34031353939452985,0.4307729380462725,0.5536829349138628,135.76126917679966,134.15831996958886,137.0446457031881,138.98722586414618,146.54404771906377,179.08337549040522,263.34899829502524,432.6732684838798,733.8857673195731,1322.7567378791625,2259.303741283573
B_se,1322.6818271296452,1198.3245014821016,1387.9321401163531,1313.5394466683272,1307.6632657478267,1439.6253501752087,1307.007182110967,1307.2431845498488,1186.190190709626,1176.7982155934417,1343.153132241546,1408.875917540742,1097.011395515193,1364.1672301741107,1865.8721680460976,1232.5519853442117,2618.4977741086113,1547.5547169890356,195.72744622497228,106.18491822021826,654.1309569946983,174.95690424571603,156.4181556869882,1271.9099186207445,1330.4749850798653,1225.7830617662216,1370.436410580452,1152.6237678052148,1292.0776005306857,1275.1225718864482,1320.2525741452307,1390.8144614618116,1343.7261509469804,1214.5762471364444
E_se,0.02328208713061425,0.023025876914181738,0.02321735454678079,0.02302477838453523,0.02300716373717498,0.02323383052833311,0.024031359157032087,0.02320617466076357,0.023526591829972614,0.02310085047600223,0.023290554582668942,0.02417981286196697,0.022687759636021855,0.02251754863823621,0.027893599348576808,0.03112650881538887,0.06702455089960649,0.2207692592485863,0.6193094321987398,0.3630270242273243,0.4874884079560517,0.6248172875501121,0.9251666866684042,0.023419389899655356,0.023944970579466922,0.023030021114638265,0.0232706635982916,0.022680776570789932,0.02342999301184486,0.023117759786585427,0.02325100759198169,0.02323892604364666,0.023671050904661626,0.023006988972309086
alpha_se,0.014067154393899247,0.045140831230094686,0.03540436239426408,0.028565176452825167,0.022314458560810182,0.01780320641540845,0.014126149208955947,0.011157918780671417,0.008909584833092909,0.007141777781592626,0.016790676974125923,0.022040467225202906,0.013744623869938563,0.013530007476799001,0.013198407461195416,0.01623531251912007,0.04819267401390639,0.08513064628103245,0.14510731708528357,98.95170541024574,5.152763499988524,4.84485532188331,1.1199201008059219,0.014419408112384603,0.014126891569231774,0.014360834416166802,0.014323715943335555,0.01414986870377557,0.01429339922865089,0.014378067375542477,0.014271381951475278,0.014081927233952242,0.014342982800427458,0.01416861904885795
beta_se,0.01859245207692385,0.018170537548184134,0.018871796327730093,0.018370870461409578,0.018716557152270052,0.019020318676470187,0.01898877732125373,0.018369099575006414,0.018145141178281192,0.018092487970757097,0.019042198146764482,0.019928476609471838,0.017410248095869472,0.018489614536105144,0.023501748011553112,0.026083840352375848,0.04195947091581349,0.061278411635643994,0.05127847890806302,0.04375162873221493,0.10243140338076526,1.0285130028301799,0.5358520030411614,0.018411749447507016,0.018954351259631137,0.0181687301077624,0.01853697525654422,0.017809131047032297,0.018581258388143417,0.018149011142530945,0.018382377225952373,0.019053742790500636,0.018918114457862862,0.01778240583002136
