Model,C1,alpha1,C2,alpha2,E,normalization_factor
Single Power Law,1.659384606957035,0.22802010333291164,,,1.7064441591689512,1000000000.0
Two-Term Power Law,0.09006122805607937,1.9031082949465075,1.965018216877108,0.14631640497180456,1.2848694173698831,1000000000.0
